APK Name,Eye,Head,Environment,Hand,Body,Face
000_1钢铁机甲汉化版_Iron_Rebellion_v9176.46,11,7,11,66,18,0
001_1魔法消消乐汉化中文版_Magical_Journey_v1.0.4,14,2,5,60,18,0
005_Dancing_Hime：Rhythm_Matching,8,11,3,13,9,2
006_Dead_and_Buried_II_ScriptPatched,-1,-1,-1,-1,-1,-1
011_KTV包厢_PartyOn_v3.4.397,10,46,107,105,54,56
012_Organ_Quarter,6,9,7,111,19,0
013_OtherSight,15,8,7,224,28,0
017_Sharecare_YOU_Anatomy,8,11,0,68,4,2
019_Swarm,7,4,7,54,11,3
020_TO_THE_TOP,74,30,3,70,73,2
023_VR贪吃蛇_Space_Slurpies_v1.4.181,4,6,11,68,15,0
026_X战机拳击_X-Fighter_v1.22.22,3,7,1,73,17,0
027_Z_赛车_Z-Race_v1.0.11.5.901,10,7,9,38,15,6
028_Z僵尸世界赛车大战_Z_Show_v1.07.21,13,1,5,52,24,0
029_beatsaber-unmodded,-1,-1,-1,-1,-1,-1
030_com.beatgames.beatsaber,-1,-1,-1,-1,-1,-1
032_noclip,7,14,4,158,15,0
033_一兰拉面_Counter_Fight_ICHIRAN_[1.1.0_96],5,4,0,46,5,8
034_一起做陶瓷_Lets_Create!_Pottery_v1.12.670,0,2,5,56,2,0
035_不予播出_Not_For_Broadcast_[1.8.1275],18,8,13,64,23,1
037_东京时笼汉化版_TOKYO_CHRONOS_[1.0.4.31],11,18,2,40,34,7
040_乐动未来_音计划_Mutrix-M_v1.0.0.1,1,1,0,19,0,0
041_乐队演奏_BEAT_ARENA_v1.5.1.71,32,28,0,95,10,8
042_二角通汉化版_NikakudoriVR[1.0.0.3],5,0,3,23,8,1
043_二进制_UNBINARY_v1.0.2.61,10,2,8,41,14,0
044_亚利桑那阳光_Arizona_Sunshine_Quest_v1.6.21876,3,32,18,168,38,13
045_交通堵塞_Traffic_Jams_v1.0.21050311,2,20,14,47,16,8
047_人体解剖学_3D_Organon_Anatomy_[2021.0.9],35,30,22,253,75,4
048_人物绘画汉化中文版_Gesture_vB0053.53,0,0,10,14,1,0
049_什么棒球_WHAT_THE_BAT_v1.3.1.230323113,9,6,0,2,6,2
052_会计风云_Accounting+_v1.24.35.35,4,6,0,4,7,0
059_侏罗纪世界_Jurassic_World_Aftermath_Collection_v3.15.36617,19,14,30,140,3,4
061_俄罗斯转盘_Bullet_Roulette_Peaceful_Edition_v1.05.15,12,20,12,214,44,2
063_保持通话_Keep_Talking_and_Nobody_Explodes_v1.9.22.59,35,16,3,28,36,3
064_修复_搏击的快感汉化中文版_The_Thrill_Of_The_Fight_v220526.1.220526100,-1,-1,-1,-1,-1,-1
066_倾斜的刷子汉化版_Tilt_Brush_[23.2-28f36f08b],10,11,8,0,1,5
067_停车场模拟器汉化中文版_Car_Parking_Simulator_[1.7.2.12],11,6,10,57,21,0
068_像素僵尸_Voxel_Shot_[1.0.0.2],7,6,4,101,35,1
069_像素射击_Shooty_Skies_Overdrive_v1.10.85270.85270,5,3,10,9,0,12
070_僵尸爆头_Zombieland_-Headshot_Fever_v1.7.0.2835,0,0,0,0,0,0
071_元宇宙商务_ENGAGE_3.2.1714,42,75,31,147,90,46
072_光之旅团_The_Light_Brigade_v478.478,0,0,0,0,0,0
073_光剑节奏汉化中文版_Beat_Saber_v1.31.0_5257753291.770,-1,-1,-1,-1,-1,-1
074_共和国_Rpublique_v1.3.244441,0,0,2,12,9,0
077_初音未来VR_Hatsune_Miku_v3.01.10,2,0,3,1,4,0
078_剃刀党_Peaky_Blinders_v23.04.27.22752,15,54,6,184,24,7
079_前进_Onward_v1.0.10439,104,87,14,196,166,15
080_剑与魔法_Blade_and_Sorcery_Nomad_v0.12.2.284,0,1,0,0,0,0
082_动漫工作室汉化中文_RiBLA_Studio_2.2,16,3,3,37,63,12
083_动物保护者汉化版_ZOOKEEPER_Blast_Quest_[0.15.1.142],11,1,13,93,25,1
084_勇敢者汉化版_Braver_v4.1.80_zipaligned,16,5,5,61,16,4
085_千万别碰_Please_Dont_Touch_Anything_v2.2.1394,4,2,3,72,7,1
087_半神计划_Project_Demigod_v0.23.2.389,16,52,12,385,154,38
091_卡坦岛汉化版_Catan_[1.1.837.11837],14,10,17,133,48,1
092_卡莉与雷普曼_Carly_and_the_Reaperman_v1.22.124755,4,8,8,106,5,13
093_危机之旅2_Crisis_Brigade_2_reloaded_v1.97.97,3,26,6,98,35,8
095_原始狩猎_Primal_Hunt_v0.0.15_2023_02_13_24920.1611,25,70,14,239,59,19
097_反击部队汉化版_Reflex_Unit_2_[4.3.403],5,5,8,24,13,0
099_台球池汉化版本_Black_Hole_Pool_v2.3.3,13,2,7,69,20,6
100_史诗过山车_Epic_Roller_Coasters_v7.1.80.5182,6,12,10,75,16,5
101_合成骑士汉化版_Synth_Riders_[2.3.12.a19.352],15,25,60,230,56,2
102_命中流拳击_Hitstream_v1.04b.652,11,1,6,55,22,0
103_命运抉择_Mortal_and_Monster_[1.5],11,2,15,75,25,0
104_和风前奏曲_Zephyrus_Prelude_v3.1,11,5,7,73,15,0
105_咕嚕米的眼睛_Gloomy_Eyes_v40.40,27,3,14,58,17,0
106_回到库尔干斯克汉化中文版_Return_To_Kurgansk_[1.1.0.0.313],13,7,12,90,38,23
108_国际象棋_Chess_Club_v1.8.13.10813,0,0,0,7,0,0
109_图书馆_Librarium_v131.131,2,11,10,133,18,3
110_圣殿之眼_Eye_of_the_Temple_v1.360.360,1,2,7,15,3,0
111_在_中学习语言_Learn_Languages_by_Mondly_v6.2.7.60472,3,1,1,31,6,0
113_坠落死亡_Drop_Dead_The_Cabin_v1.1.3.8514,4,37,10,187,62,4
116_墙来了_OhShape_v2.1.2.000.20102,3,12,3,114,2,0
117_增强帝国Augmented_Empire_[1.0.102-S8],21,15,34,8,5,1
118_墨之韵_You_Calligrapher_[1.02.3],1,3,1,32,6,0
119_墨者_Sairento_Untethered_v1.9.5.223,18,42,25,338,78,9
