APK Name,Eye,Head,Environment,Hand,Body,Face
000_1976决胜空战 1976_Back_to_Midway_2.81_FNAL,2,0,6,0,6,2
001_1976决胜空战_Back_to_Midway_2.82_FNAL(5.3.x),2,0,6,0,6,2
002_D_Car_Unity_0.1.1_(CN)_FNAL,3,14,1,23,20,3
003_DeoVR 视频播放器 DeoVR_13.10_FNAL,1,9,1,7,0,0
004_EnterVR_2.0,3,5,14,30,12,1
005_Fernland_1.90,70,27,4,97,13,0
006_GVR_Chat_3.4.1_(CN)_FNAL,4,26,0,30,52,10
007_Go_Now_1.4.5_(CN)_FNAL,11,11,31,91,19,3
008_Gym_Play_1.1_(CN)_FNAL,7,16,12,219,17,2
009_HOS_VR_2.0.1_(CN)_FNAL,69,10,4,10,9,0
010_Hitstream（有com文件夹）_Hitstream_1.06bpico,11,1,18,54,22,0
011_Koord_Coach_1.38,12,2,11,151,19,0
012_Koord_Coach_1.4_FNAL,12,2,11,151,19,0
013_Learn_Lithography_1.0.2,11,1,5,52,24,3
014_METASEE_1.1.0_(CN)_FNAL,1,0,0,4,1,0
015_MageVR_1.6.0_(CN)_FNAL,69,39,3,55,51,0
016_Meta彼岸Meta_on_the_other_side_3.0.8_(CN)_FNAL,-1,-1,-1,-1,-1,-1
018_OOPSLINE_1.0.0_(CN)_FNAL,0,0,0,0,0,0
019_Omission_Meeting_1.3,0,0,3,0,0,21
020_OpenBrush_2.0.7(5.3.x),3,13,5,10,6,17
021_PICO 体感追踪器Pico_Motion_Tracking_1.2.1_FNAL,2,16,0,88,20,1
022_PICO视频 PICO_VIDEO_2.1.9_HTS,8,7,0,12,0,0
023_Party_On_3.4.516_FNAL,7,51,105,80,48,56
024_Pico_Home_4.0.248_(CN)_FNAL,73,33,31,124,54,6
027_RecRoom_20230616_FNAL,-1,-1,-1,-1,-1,-1
028_SuperHot_1.97,9,51,16,77,102,14
030_VFC_25.3_32_FNAL,38,81,13,410,67,10
031_VFC格斗家  VFC_30_FNAL,43,81,13,418,67,10
032_VR切方块体验版_1.2.4,77,20,4,27,6,1
033_VR办公Immersed_1.9.99_FNAL,31,6,31,112,8,3
034_VR解剖平台Human_Anatomy_VR_2023.12.2_FNAL,0,9,1,15,23,4
035_VR驾校VR_Driving_School_4.1_FNAL(5.3.x),0,4,1,15,7,0
036_VeeR 未来岛VeeRLand_3.0.9_(CN)_FNAL,1,55,19,118,23,7
037_Wave_Your_Blade_In_Dance_3.1,0,4,0,1,4,0
038_Wind Wind（有com文件夹）_WindWind_1.02(5.3.x),77,24,9,100,33,9
039_X-Fitness_4.24,0,8,0,24,1,0
040_XFitness_4.31_FNAL,0,8,0,24,1,0
041_X战机拳击 X-Fighter(5.6.x)_1.16_FNAL,3,7,1,77,20,0
042_ZOSU_Gallery_Smash_1.207,2,11,6,98,20,5
043_ZRace_0.3.12_490_VTX(5.3.x),1,6,4,15,7,6
045_一帧VR  One_Frame_VR_1.6.2_(CN)_FNAL,15,2,108,5,19,4
046_一锤进洞PUTTZZLE_1.009_FNAL,0,4,0,75,6,1
048_不朽的遗产：翡翠密码（有com文件夹）_不朽的遗产_ImmortalLegacyVR_1.4,14,28,12,270,105,10
049_不说话的娃娃TheSilentDoll_1.19_FAVTX(5.3.x),70,30,27,44,17,2
050_东京时笼Tokyo_Chronos_1.0.6_FNAL(5.3.x),11,14,11,26,18,7
051_中世纪射箭Arrowhead-Medieval_Archery_VR_1.0.2_FNAL(5.3.x),0,2,0,31,4,2
053_乐动未来Mutrix（有com文件夹）_Mutrix_1.2.0_FNAL,1,1,0,19,0,0
054_乒乓：致胜11分Eleven_4.36.16.309外服,22,7,2,23,6,3
055_乒乓：致胜11分Eleven_Pico_0.258.2_HTS,22,7,2,23,6,3
056_九月的晚餐Sep's_Diner_12650_FNAL,13,9,20,97,24,0
057_乡镇故事(5.6.x)_ATownship_Tale_1.5.2.0.39512_FNAL_A_Township_Tale_1.5.2.0.39512_FNAL,-1,-1,-1,-1,-1,-1
058_云大陆 迷你高尔夫Cloudlands_2_1.31_35_FNAL(5.3.x),83,23,28,48,17,1
059_亚利桑那阳光（有com文件夹）_亚利桑那阳光_ArizonaSunshine_1.6.21896(5.3.x),3,33,20,170,38,13
062_仙人掌战争Cactus_Cowboy_-_Plants_At_War_1.2.3PP_仙人掌战争Cactus_Cowboy-Plants_At_War,0,5,0,58,10,0
064_体育训练生Rezzil_Player_1.1.0_FNAL(5.3.x),61,14,4,62,5,0
065_侏罗纪世界（有com文件夹）_侏罗纪世界Jurassic_World-Aftermath_3.15,19,14,30,140,3,4
066_俄罗斯转盘Bullet_Roulette_1.1_FNAL(5.3.x),78,27,18,200,47,2
068_像素撕裂1995Pixel_Ripped_1995_106_FNAL(5.3.x),61,19,9,56,9,5
069_僵尸 爆头ZombielandVR_1.6.4_3428,0,0,0,0,0,0
070_僵尸之地：弹无虚发ZombielandVR_1.6.4_2450_FAVTX(5.3.x),0,0,0,0,0,0
071_僵尸双重打击Drop_Dead-Dual_Strike_1.5.0_PICO_1.0.5_FNAL,27,50,27,173,104,37
072_僵尸双重打击Drop_Dead_Dual_Strike_1.5.0(5.3.x),17,45,26,159,95,15
073_元宇宙书店Meta_Book_Store_0.945_(CN)_FNAL,4,14,3,13,7,0
074_元宇宙商务Engage_3.2_FNAL,42,75,31,147,90,46
075_元视界Metavision_1.2.2_(CN)_FNAL,0,0,0,11,0,0
076_先锋：无尽旅途Pioneer-Endless_Journey_0.5.10C_FNAL,11,6,9,60,15,0
077_光之乐团 中文LightBand_2.0.4_(CN)_FNAL,0,17,4,84,14,7
078_光之乐团：舞步模式Lightband-Feetsaber_2.0.0_(CN)_FNAL,0,11,2,83,14,7
079_光剑节奏BeatSabreClone_Chinese_FNAL(5.3.x),0,4,0,1,4,0
080_全息训练Holofit_3.1.0.10_FNAL_Holofit_3.1.0.10_FNAL,0,11,0,32,7,0
081_全民王八拳Power_Punch_1.0.4_FNAL(5.3.x),0,8,23,57,3,16
083_农用拖拉机(5.6.x)_Farming_Tractor_0.4_FNAL,3,8,3,93,27,0
084_冥想Solas_VR_1.3,0,0,0,3,0,1
085_决赛足球VR Final_Soccer_PRO_1.22_FNAL,9,5,0,4,14,19
086_刀剑风暴Ironlights_143_FNAL(5.3.x),74,31,9,229,34,1
087_创世神Deisim_1.40_FNAL,1,1,1,31,15,0
088_剑与魔法（有com文件夹）_BladeAndSorcery_0.12.2_FNAL,0,1,0,0,0,0
089_剑与魔法：游牧民族Blade_And_Sorcery-Nomad_0.12.2_Blade_And_Sorcery-Nomad_0.12.2_01,0,1,0,0,0,0
090_功夫节奏_KungFuBeat_48,0,1,0,23,0,0
092_动感音旅Audio_Trip_1.0.3398_332_FAVTX(5.3.x),1,10,2,96,30,8
094_卡通消消乐Jentrix_1.1.0_FNAL,12,3,6,43,19,0
095_危机行动队2(5.6.x)_Crisis_Brigade_2_2.07_FNAL_Crisis_Brigade_2_2.07_FNAL,0,26,3,75,25,8
096_危机行动队Crisis_VRigade_1.27_FNAL(5.3.x),0,9,6,55,1,8
097_原始猎人（有com文件夹）_Primal_Hunt_0.015_2023_02_13_249231_FNAL(5.3.x),25,70,14,239,59,19
098_厨房冲突ClashOfChefsVR_1.1.3_7_FNAL(5.3.x),0,0,2,0,1,0
099_古籍寻游记 - 居延汉简Travelogue_in_Ancient_Books-Juyan_Hanjian_6.0_(CN)_Travelogue_in_Ancient_Books-Juyan_Hanjian_6.0_(CN)_FNAL,2,36,1,54,3,0
100_古籍寻游记 - 殷墟甲骨Travel_notes_on_ancient_books_8.0_(CN)_Travel_notes_on_ancient_books_8.0_(CN)_FNAL,0,0,0,46,0,0
101_台球游戏Billiard_VR_1.02_(CN)_FNAL,0,3,1,14,3,2
103_命运抉择_Bitsrealm_1.1,69,11,26,63,29,0
104_咕噜米的眼睛（有com文件夹）_Gloomy_Eyes_V4_FNAL,77,9,8,17,1,0
105_国际象棋俱乐部Chess_Club_1.6.09,2,0,3,32,7,0
106_圆盘忍者DiscNinja_EA-022_VTX(5.3.x),71,13,9,70,15,0
107_坠落死亡：小屋（有com文件夹）_Drop_Dead-The_Cabin_1.1.1_FNAL,4,37,10,185,62,4
108_坦克猎人Tank_Hunter_1.4_FNAL,1,2,0,14,5,0
109_城市建造_VR（有com文件夹）_Cities_VR_1.00.299_VTX,2,5,15,52,30,0
110_城镇叠叠乐Townscaper_VR_1.2.0_VTX,0,0,0,3,0,0
111_墙来了 OhShape_2.0.0.000,5,13,4,142,8,0
112_墙来了OhShape_2.0_VTX(5.3.x),5,12,4,126,8,0
113_墙裂要球Smash_Walls-RogueBall_1.1.1,-1,-1,-1,-1,-1,-1
"114_墨之韵You,_Caligrapher_1.0.2.7_FNAL(5.3.x)",0,6,0,15,0,0
115_多合一夏季运动会Summer_Sports_0.2.0,0,0,7,0,4,6
116_多合一运动  All_In_One_Sports_1.0.0_52_FNAL_1,6,45,19,131,13,5
117_多米诺骨牌Gadgeteer_1.1.3_FNAL(5.3.x),0,5,6,1,14,6
118_大力水冲PICO_Pressure_Washer_1.1.0.5_FNAL(1),0,0,0,0,0,0
