Ord,Apk_Name,Matched_Apk_Name,Type,Url,Unity_Eye_Count,Unity_Head_Count,Unity_Environment_Count,Unity_Hand_Count,Unity_Body_Count,Unity_Face_Count,Unreal_Module_Names
0,1976决胜空战 1976_Back_to_Midway_2.81_FNAL,1976决胜空战,Unity,https://www.ivanovichgames.com/privacy.html,2,0,6,0,6,2,NUL
1,1976决胜空战_Back_to_Midway_2.82_FNAL(5.3.x),1976决胜空战,Unity,https://www.ivanovichgames.com/privacy.html,2,0,6,0,6,2,NUL
2,D_Car_Unity_0.1.1_(CN)_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,3,14,1,23,20,3,NUL
3,DeoVR 视频播放器 DeoVR_13.10_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,1,9,1,7,0,0,NUL
4,EnterVR_2.0,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,3,5,14,30,12,1,NUL
5,Fernland_1.90,Cloudlands 2,Unity,http://futuretown.io/index.php/privacy-policy/,70,27,4,97,13,0,NUL
6,GVR_Chat_3.4.1_(CN)_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,4,26,0,30,52,10,NUL
7,Go_Now_1.4.5_(CN)_FNAL,Go Now,Unity,NUL,11,11,31,91,19,3,NUL
8,Gym_Play_1.1_(CN)_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,7,16,12,219,17,2,NUL
9,HOS_VR_2.0.1_(CN)_FNAL,HOSVR,Unity,NUL,69,10,4,10,9,0,NUL
10,Hitstream（有com文件夹）_Hitstream_1.06bpico,Hitstream,Unity,https://hitstream.games/privacypolicy,11,1,18,54,22,0,NUL
11,Koord_Coach_1.38,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,12,2,11,151,19,0,NUL
12,Koord_Coach_1.4_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,12,2,11,151,19,0,NUL
13,Learn_Lithography_1.0.2,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,11,1,5,52,24,3,NUL
14,METASEE_1.1.0_(CN)_FNAL,METASEE,Unity,NUL,1,0,0,4,1,0,NUL
15,MageVR_1.6.0_(CN)_FNAL,MageCosmos,Unity,https://www.magecosmos.live/zh/privacy-policy,69,39,3,55,51,0,NUL
16,Meta彼岸Meta_on_the_other_side_3.0.8_(CN)_FNAL,Meta彼岸,Unity,NUL,-1,-1,-1,-1,-1,-1,NUL
17,Moss（有com文件夹）_Moss_1.0.3.107450_FNAL(5.3.x),Moss: Book II,Unreal,https://www.polyarcgames.com/cn/privacy,NUL,NUL,NUL,NUL,NUL,NUL,"817320: No main.obb.png
"
18,OOPSLINE_1.0.0_(CN)_FNAL,OOPSLINE,Unity,NUL,0,0,0,0,0,0,NUL
19,Omission_Meeting_1.3,First Person Tennis - The Real Tennis Simulator,Unity,https://sites.google.com/view/fptprivacypolicy/privacy-policy-cn,0,0,3,0,0,21,NUL
20,OpenBrush_2.0.7(5.3.x),MultiBrush,Unity,NUL,3,13,5,10,6,17,NUL
21,PICO 体感追踪器Pico_Motion_Tracking_1.2.1_FNAL,支持 PICO 体感追踪器绑在腿部即可追踪全身运动姿态已有体感追踪器，去配对,Unity,NUL,2,16,0,88,20,1,NUL
22,PICO视频 PICO_VIDEO_2.1.9_HTS,支持 PICO 体感追踪器绑在腿部即可追踪全身运动姿态已有体感追踪器，去配对,Unity,NUL,8,7,0,12,0,0,NUL
