platform,name,age,category,privacy_url,type,cookie,share,security,right,children,specialArea,update,how,provide,retention,useData,order,label_error,title_error,ARI,FRES,LIX,Average Syllables per Word,Average Words per Sentence,Average Letters per Word,Sentence Count,Word Count,Reading Time (minutes),Speaking Time (minutes)
microsoft,Adventure Learning Inside Humans,. EVERYONE EVERYONE,Education,-1,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,Wild World of Wonder Ag,. EVERYONE EVERYONE,Education,-1,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,Image to MR home,. EVERYONE EVERYONE,Productivity,-1,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,Brain Anatomy VR,. EVERYONE EVERYONE,Education,http://www.zippybrain.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,28.172727272727272,-596.4936363636364,65.54545454545455,1.6363636363636365,11.0,9.363636363636363,1.0,11.0,0.055,0.0733333333333333
microsoft,Museum of Type,. EVERYONE,.,-1,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,Masters of Design,. EVERYONE EVERYONE,Education,-1,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,Timescope,. EVERYONE EVERYONE,Education,http://www.somasoft.com/privacy.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,12.95065217391305,-190.84421739130437,47.889855072463774,1.3695652173913044,27.6,4.369565217391305,5.0,138.0,0.69,0.92
microsoft,Chemistry Adventures in the Wonder Lab,. EVERYONE EVERYONE,Education,-1,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,MobileHMI,. EVERYONE EVERYONE,Business,http://iconics.com/Home/Privacy.aspx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,27.03,-591.9,86.77777777777777,2.4444444444444446,9.0,9.333333333333334,1.0,9.0,0.045,0.06
microsoft,Movies & TV,. Not Rated Not Rated,Entertainment,http://go.microsoft.com/fwlink/?LinkID=521839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,57.42297263707382,-928.0689201791536,92.6297101712224,1.556338028169014,35.33014354066986,12.991061755146262,209.0,7384.0,36.92,49.22666666666667
oculus,If You Are Not Dumb - Puzzle Experiences in VR & MR,3+,"Adventure, Casual, Puzzle",https://docs.google.com/document/d/1splZFw2pxh7oXEIZ2IEvGiGT4-rrTjDIGOP53sAiOiA/edit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,211.48212765957447,-607.1099999999999,436.7115839243499,1.3569739952718676,423.0,4.546099290780142,1.0,423.0,2.115,2.82
