mark,title,,,,,,,,,,,,,,,,,,
1,what personal information does alexa internet collect?,,,,,,,,,,,,,,,,,,
2,what about cookies and other identifiers?,,,,,,,,,,,,,,,,,,
3,does alexa internet share the information it receives?,,,,,,,,,,,,,,,,,,
4,how secure is information about me?,,,,,,,,,,,,,,,,,,
5,what about advertising?,,,,,,,,,,,,,,,,,,
6,which information can i access?,,,,,,,,,,,,,,,,,,
6,what choices do i have?,,,,,,,,,,,,,,,,,,
7,are children allowed to use alexa internet?,,,,,,,,,,,,,,,,,,
8,california consumer privacy act (“ccpa”),,,,,,,,,,,,,,,,,,
9,"conditions of use, notices, and revisions",,,,,,,,,,,,,,,,,,
10,examples of information collected,,,,,,,,,,,,,,,,,,
13,reasons we can share your information:,,,,,,,,,,,,,,,,,,
3,does cutting edge share?,,,,,,,,,,,,,,,,,,
6,can you limit this sharing?,,,,,,,,,,,,,,,,,,
0,privacy policy,,,,,,,,,,,,,,,,,,
0,questions:,,,,,,,,,,,,,,,,,,
11,who is providing this notice?,,,,,,,,,,,,,,,,,,
4,how does cutting edge credit union protect my personal information?,,,,,,,,,,,,,,,,,,
10,how does cutting edge fcu collect my personal information?,,,,,,,,,,,,,,,,,,
6,why can not i limit all sharing?,,,,,,,,,,,,,,,,,,
0,affiliates:,,,,,,,,,,,,,,,,,,
0,nonaffiliates:,,,,,,,,,,,,,,,,,,
0,joint marketing:,,,,,,,,,,,,,,,,,,
1,non-personal information we collect about you,,,,,,,,,,,,,,,,,,
2,a. cookies ,,,,,,,,,,,,,,,,,,
0,b. web beacons ,,,,,,,,,,,,,,,,,,
1,volunteering personally identifiable information,,,,,,,,,,,,,,,,,,
4,security of your financial information,,,,,,,,,,,,,,,,,,
4,security of information we collect on your behalf,,,,,,,,,,,,,,,,,,
4,security of your personal information,,,,,,,,,,,,,,,,,,
3,disclosure of your information,,,,,,,,,,,,,,,,,,
4,protection of your personal information,,,,,,,,,,,,,,,,,,
7,privacy of children,,,,,,,,,,,,,,,,,,
9,changes to this privacy policy,,,,,,,,,,,,,,,,,,
0,service-related announcements,,,,,,,,,,,,,,,,,,
0,customer service,,,,,,,,,,,,,,,,,,
11,contact information,,,,,,,,,,,,,,,,,,
0,privacy policy,,,,,,,,,,,,,,,,,,
1,gathering of personally-identifying information,,,,,,,,,,,,,,,,,,
12,data retention policy,,,,,,,,,,,,,,,,,,
1,log data,,,,,,,,,,,,,,,,,,
4,protection of certain personally-identifying information,,,,,,,,,,,,,,,,,,
9,privacy policy changes,,,,,,,,,,,,,,,,,,
0,capital investment advisors privacy notice,,,,,,,,,,,,,,,,,,
1,categories of personal information,,,,,,,,,,,,,,,,,,
2,use of cookies,,,,,,,,,,,,,,,,,,
13,why we use your data,,,,,,,,,,,,,,,,,,
12,how long do we keep your data,,,,,,,,,,,,,,,,,,
13,what do we do with your data,,,,,,,,,,,,,,,,,,
0,bulletin boards and chat rooms,,,,,,,,,,,,,,,,,,
7,children’s privacy,,,,,,,,,,,,,,,,,,
4,security of information,,,,,,,,,,,,,,,,,,
6,what are your rights?,,,,,,,,,,,,,,,,,,
6,you have a right to be informed about the personal information that we are collecting about you. ,,,,,,,,,,,,,,,,,,
6,you have a right to see what specific pieces of personal information we have collected and currently hold about you twice in each twelve-month period,,,,,,,,,,,,,,,,,,
6,your have the right to have your personal information deleted.,,,,,,,,,,,,,,,,,,
6,you have the right to know if your personal information is shared or sold.,,,,,,,,,,,,,,,,,,
6,you have the right to opt out. ,,,,,,,,,,,,,,,,,,
0,you have the right to non-discrimination.,,,,,,,,,,,,,,,,,,
0,alternative privacy policies,,,,,,,,,,,,,,,,,,
9,revisions,,,,,,,,,,,,,,,,,,
0,privacy policy ,,,,,,,,,,,,,,,,,,
1,collection of your personal information,,,,,,,,,,,,,,,,,,
13,use of your personal information ,,,,,,,,,,,,,,,,,,
2,use of cookies ,,,,,,,,,,,,,,,,,,
4,security of your personal information,,,,,,,,,,,,,,,,,,
7,children under thirteen,,,,,,,,,,,,,,,,,,
0,opt-out & unsubscribe,,,,,,,,,,,,,,,,,,
11,contact information ,,,,,,,,,,,,,,,,,,
0,spokenlayer privacy policy,,,,,,,,,,,,,,,,,,
0,1. introduction,,,,,,,,,,,,,,,,,,
0,privacy policy,,,,,,,,,,,,,,,,,,
0,scope and date of policy,,,,,,,,,,,,,,,,,,
1,what personal data we collect,,,,,,,,,,,,,,,,,,
10,how we collect personal data,,,,,,,,,,,,,,,,,,
13,how we use personal data,,,,,,,,,,,,,,,,,,
3,disclosure and sharing of personal data,,,,,,,,,,,,,,,,,,
3,transfer of personal data,,,,,,,,,,,,,,,,,,
12,retention of personal data,,,,,,,,,,,,,,,,,,
6,data rights,,,,,,,,,,,,,,,,,,
11,how to contact us,,,,,,,,,,,,,,,,,,
0,instapass,,,,,,,,,,,,,,,,,,
0,share smartkarma corporate solutions brochure with your team,,,,,,,,,,,,,,,,,,
0,download smartkarma corporate solutions subscription plans,,,,,,,,,,,,,,,,,,
0,"Phyllis Pieri, CFE",,,,,,,,,,,,,,,,,,
