name,Age_rating,age_info,category,Category,privacy_policy,Report_this_product,Developed_by,Published_by,Additional_terms,In-app_purchases,support language,Language_supported,Please note,Copyright,Installation,Approximate_size,This_app_can,Seizure_warnings,Publisher_Info,Release_date,publish_info,Accessibility,origin_url,description
Dark Legion,Age rating|||For ages 13 and up,.,.,Category|||Shooter|||Shooter|||Shooter@https://www.microsoft.com/en-us/store/top-paid/games/pc?category=Shooter,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/dark-legion/9mssb405v60t?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fdark-legion%2f9mssb405v60t%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Ice World,"Published by|||Beijing IceWorld Technology Co.,Ltd|||Beijing IceWorld Technology Co.,Ltd|||",Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Install on a Windows 10 PC plus have access when you’re connected to your Microsoft account|||Install on a Windows 10 PC plus have access when you’re connected to your Microsoft account|||,Approximate size|||3.69 GB,.,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Dark Legion support|||Dark Legion support|||Dark Legion support|||Dark Legion support@mailto:info@binghevr.com|||,Release date|||10/11/2017,.,.,.,"<Dark Legion> is a VR first person shooter (FPS) and magic game. The player plays a chief officer on a space mission. The spaceship breaks down on the way back to earth, causing a forced landing onto a mysterious planet. In order to return back to earth, the player starts an expedition to search for energy source, only to find a huge conspiracy that a military troop on this planet is making mutant creatures in secret, that will be a catastrophe for human race. To protect your own race and your own planet, load your weapons and go destroy the dark legion!  Huge battle scenes, advanced game level design, and smart AI, making you indulged in the game for a dozen hours (which we wouldn’t suggest you to go for that long, that’s why we have archives).   Features a.Combination of Shooting and Spells The character can release the spells and the enemy also gets similar power. There are also magicla traps In the stages. f. Weapon System You can use Pistols, Machine Guns, Shotguns, Rifles, RPGs, Grenades, TNTs, Bows and Shields. You can feel it as reality when you reload, release the bold, aim and fire. g. AI Smart enemies The enemy is built with high-level AI system. They could dodge, duck and aim at the player. h. The Collection System You could find the treasure in the stages to archive supplies including Health, Weapons and Ammo. You will also need the clues to find the password and open the door to the next area. i. The Real Shooting Practice Get familiar with every weapon you use. Score and locations will be displayed. You could also invite your friend to compete with."
imrsv.data,Age rating|||For all ages,.,.,Category|||Business > Data & analytics|||Business > Data & analytics|||Business > Data & analytics@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Business%5cData+%26+analytics,https://lucasvaltl.github.io/imrsv.data-privacy/,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/imrsvdata/9msxxfl8hj21?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fimrsvdata%2f9msxxfl8hj21%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||imrsv visualisations|||imrsv visualisations|||,Additional terms|||imrsv.data privacy policy Terms of transaction|||imrsv.data privacy policy|||imrsv.data privacy policy|||imrsv.data privacy policy@https://lucasvaltl.github.io/imrsv.data-privacy/||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||51.96 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||imrsv.data website|||imrsv.data website|||imrsv.data website|||imrsv.data website@https://lucasvaltl.github.io/imrsv-data-user-guide/|||,Release date|||10/11/2017,.,.,.,"Important: Requires a file picker, such as the OneDrive app, to be installed on your Hololens.   Get a glimpse of data visualisation in a post screen world - import CSV/JSON files and interact with them as immersive, 3-dimensional graphs.   Open files saved in the cloud using a file picker, actively find patterns in your data by changing the dimensions to be displayed and get a better understanding by gazing at data objects and receiving additional info.  This app specifically works well with multidimensional data containing both categorical and numerical dimensions.   Note: The app can only display a maximum of 50 groups/bars at a time. Anything above that will not be displayed.   A few things about data formatting: Missing data values should be left empty. The following file formats are accepted: - CSV (up to 5 MB in size): The file needs to use commas as separators. Do not use an index. The first line defines the column names and hence needs to consist of strings. - JSON (up to 8 MB in size): the file needs to be formatted as follows: one key/value pair per data column/dimension containing the column name as the key and an array of data as the value. All dimensions/columns need to have the same length and the values need to be of the same type.  The file you want to open needs to be uploaded into the location that your file picker accesses. When using OneDrive as a file picker, your files need to be saved in your OneDrive folder.  For a detailed user manual including sample files, please visit the website linked below."
Esper One,Age rating|||For ages 10 and up,.,.,Category|||Puzzle & trivia|||Puzzle & trivia|||Puzzle & trivia@https://www.microsoft.com/en-us/store/top-paid/games/pc?category=Puzzle+%26+trivia,https://go.microsoft.com/fwlink/?LinkId=521839,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/esper-one/9msz3vt44r8j?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fesper-one%2f9msz3vt44r8j%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||Coatsink Software|||Coatsink Software|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Install on a Windows 10 PC plus have access when you’re connected to your Microsoft account|||Install on a Windows 10 PC plus have access when you’re connected to your Microsoft account|||,Approximate size|||427.2 MB,.,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||10/17/2017,.,.,.,"Esper is a puzzle game set entirely in a single room. As one of a number of ordinary citizens who have recently been endowed with the power to move objects with their minds, you have been enrolled by the government to undertake a series of tests to show that you are in control of your powers. Use your psychic abilities to pick up objects and solve increasingly challenging tests in order to demonstrate that you are definitely not a threat to the fragile fabric of society.  Controllers supported: Xbox gamepad"
HoloInkShooter,Age rating|||For all ages,.,.,Category|||Entertainment|||Entertainment|||Entertainment@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Entertainment,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holoinkshooter/9mt0vk0kzjz8?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholoinkshooter%2f9mt0vk0kzjz8%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||arcsin16|||arcsin16|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||71.68 MB,This app can|||Access your Internet connection and act as a server.|||Access your Internet connection and act as a server.|||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||5/31/2017,.,.,.,"This is an ink shooting demo application. With this application, you can shoot ink and paint your room! Enjoy!!  Overhead UI allows you to change and clear ink color, show score and start multiplay mode.  RESTRICTION Paintable area is limited in 10 x 10m. More than 5 player may become a cause of the delay."
TPC Scottsdale Experience,Age rating|||For all ages,.,.,Category|||Sports|||Sports|||Sports@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Sports,https://www.pgatour.com/company/privacy-policy.html,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/tpc-scottsdale-experience/9mt18dxp3tpq?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2ftpc-scottsdale-experience%2f9mt18dxp3tpq%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||PGA TOUR|||PGA TOUR|||,Additional terms|||TPC Scottsdale Experience privacy policy Terms of transaction|||TPC Scottsdale Experience privacy policy|||TPC Scottsdale Experience privacy policy|||TPC Scottsdale Experience privacy policy@https://www.pgatour.com/company/privacy-policy.html||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||368.93 MB,This app can|||Use your webcam Use your microphone Access your Internet connection|||Use your webcam||||||Use your microphone||||||Access your Internet connection|||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||TPC Scottsdale Experience website TPC Scottsdale Experience support|||TPC Scottsdale Experience website|||TPC Scottsdale Experience website|||TPC Scottsdale Experience website@https://www.pgatour.com/||||||TPC Scottsdale Experience support|||TPC Scottsdale Experience support|||TPC Scottsdale Experience support@mailto:mobile@pgatourhq.com|||,Release date|||2/15/2018,.,.,.,"Experience the PGA TOUR like never before on Windows HoloLens!   Amaze yourself and your friends by placing a 3D map of TPC Scottsdale on your coffee table and seeing the course from a birds eye view.   With the TPC Scottsdale experience, you will be able to:   * Show a map of the course in 3D in your living room or any home or office space.   * Zoom in to view details of any hole on the course, with special attention to the Clubhouse and the most exciting hole in golf - #16 at TPC Scottsdale.    * View all of your favorite players by hole and see their shot trails as they battled towards victory during the Waste Management Phoenix Open.   * Compare two players on each hole to see how they performed and the distance they achieved with each shot.   * View heat maps of each hole to see where most ball traffic occurred during the tournament.   * Look at real time weather in Scottsdale, AZ.   The TPC Scottsdale experience is the first holographic golf application designed to enhance your enjoyment of the sport, and to enhance your perspective of a tournament. Download it today."
Tower of Hanoi Hololens Demo,Age rating|||For all ages,.,.,Category|||Entertainment|||Entertainment|||Entertainment@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Entertainment,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/tower-of-hanoi-hololens-demo/9mv4dl3zlfzz?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2ftower-of-hanoi-hololens-demo%2f9mv4dl3zlfzz%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||GSW|||GSW|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||59.51 MB,This app can|||Use your webcam Use your microphone See your current and past surroundings|||Use your webcam||||||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||9/25/2017,.,.,.,This is a small Tower of Hanoi Hololens Demo.
HoloTheremin,Age rating|||For all ages,.,.,Category|||Entertainment|||Entertainment|||Entertainment@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Entertainment,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holotheremin/9mv57r1hrmvm?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholotheremin%2f9mv57r1hrmvm%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||tarukosu,Published by|||tarukosu|||tarukosu|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||53.64 MB,This app can|||See your current and past surroundings|||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||5/4/2018,.,.,.,You can make a musical tone with your fingers.
ZARZL,Age rating|||For all ages,.,.,Category|||Action & adventure|||Action & adventure|||Action & adventure@https://www.microsoft.com/en-us/store/top-paid/games/hololens?category=Action+%26+adventure,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/zarzl/9mvr4m0srsm6?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fzarzl%2f9mvr4m0srsm6%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||Zero Infinity One|||Zero Infinity One|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||181.98 MB,This app can|||Use your webcam Use your microphone Access your Internet connection|||Use your webcam||||||Use your microphone||||||Access your Internet connection|||||||||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||7/23/2017,.,.,.,"ZARZL is a game best suited to large open spaces.   Players move around a maze with the goal of connecting with Aliens after being empowered by atomic orbs, and collecting ionizing crystals.  FREE license Free Demo for personal play only.  Please contact us at mike@zeroinfinityinc.com for a commercial license to run ZARZL in public or in venues."
Operation AR,Age rating|||For ages 10 and up,.,.,Category|||Card & board|||Card & board|||Card & board@https://www.microsoft.com/en-us/store/top-paid/games/hololens?category=Card+%26+board,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/operation-ar/9mvxdt2g6k3v?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2foperation-ar%2f9mvxdt2g6k3v%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||smoosh911,Published by|||smoosh911|||smoosh911|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||44.77 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Operation AR support|||Operation AR support|||Operation AR support|||Operation AR support@mailto:smoosh12@msn.com|||,Release date|||1/6/2017,.,.,.,In operation you have to remove the damaged organs from the dead body to save the patient. Be careful not to touch the organs to the body or else you will kill the patient!  Asset Attributions Logo icon Logo icon made by Roundicons at http://www.flaticon.com/authors/roundicons with flaticon at http://www.flaticon.com is licensed by Creative Commons BY 3.0 athttp://creativecommons.org/licenses/by/3.0/  Liver Liver 3d model made by soona at https://sketchfab.com/models/6105d1738d2e4f0d87197e045c4b1533 under Creative Commons at https://creativecommons.org/licenses/by/4.0/
KADO MEP Layout,Age rating|||For all ages,.,.,Category|||Productivity|||Productivity|||Productivity@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Productivity,http://intellectsoft.net/downloads/KADO_Privacy_Policy.pdf,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/kado-mep-layout/9mw1jsxqszcd?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fkado-mep-layout%2f9mw1jsxqszcd%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Intellectsoft,Published by|||Intellectsoft|||Intellectsoft|||,Additional terms|||KADO MEP Layout privacy policy Terms of transaction|||KADO MEP Layout privacy policy|||KADO MEP Layout privacy policy|||KADO MEP Layout privacy policy@http://intellectsoft.net/downloads/KADO_Privacy_Policy.pdf||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||80.9 MB,This app can|||Use your microphone Access your Internet connection|||Use your microphone||||||Access your Internet connection|||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||KADO MEP Layout website KADO MEP Layout support|||KADO MEP Layout website|||KADO MEP Layout website|||KADO MEP Layout website@https://www.intellectsoft.net/||||||KADO MEP Layout support|||KADO MEP Layout support|||KADO MEP Layout support@mailto:ar@intellectsoft.net|||,Release date|||4/18/2018,.,"Accessibility|||The product developer believes this product meets accessibility requirements, making it easier for everyone to use.",.,"KADO Demo is a limited version of the application aimed to demonstrate architects, engineers, construction teams and facility managers the capabilities of KADO framework and what can AR/MR do for construction industry. The demo was designed as a tool to help MEP engineers to do point layout on site.  KADO Demo is only a showcase of what can be built on top of KADO framework. Every Construction company has unique requirements for AR Software solutions, which is why KADO supports multiple tools that give the companies the flexibility to pick the right building blocks for your next AR tool or product without additional hassle and coding from scratch.  If you are interested in the commercial version or have questions about this application, please email ar@intellectsoft.net."
