年龄,不支持退款,name,简介,支持退款,分类,标签,游戏形式,语言,使用范围,控制方式,支持平台,版本,更新日期,大小,开发者,发行商,开发者隐私政策,开发者服务条款,开发者网站,权限,名称,start,end
null,null,实况钓鱼,"简介《实况钓鱼》（Real VR Fishing） 是一款超级放松的钓鱼模拟游戏，专为钓鱼爱好者、冒险爱好者以及社交爱好者打造。游戏使用独特的引擎技术，完美的模拟出在全球各地真实水域钓鱼体验，戴上 PICO 即可瞬间到达。 
【真实场景完美还原】
- 这里有阳光明媚的海滩、阴雨连绵的河岸、热闹非凡的城市、幽居深处的村庄 
- 浮钓、拟钓、海钓、河钓满足各种钓鱼体验 
【鱼类的百科全书】
- 1:1 仿真近百种真实鱼类
- 模拟鱼类生长环境和鱼饵喜好 
- 图鉴系统记录每一个钓鱼瞬间
【随心所欲定制造型】
- 支持DIY的水族馆，在家也能看到鱼群遨游！ 
- 支持全身装扮的角色模型，让你成为岸边最靓钓手！ 
【好友联机以鱼会友】
- 提供最多 4 人专属钓鱼空间，让你钓鱼不孤单 
- 想和好友PK钓鱼技术？钓鱼排行榜等你挑战 
【周边系统让钓鱼不无聊】 
- 音乐播放器和网页浏览器可以让你边钓鱼边追剧，刷抖音、听播客也可以 
- 钓到鲨鱼？照相机功能让你一键记录美好瞬间
给你身临其境的钓鱼体验！快来加入吧《实况钓鱼》（Real VR Fishing） 是一款超级放松的钓鱼模拟游戏，专为钓鱼爱好者、冒险爱好者以及社交爱好者打造。游戏使用独特的引擎技术，完美的模拟出在全球各地真实水域钓鱼体验，戴上 PICO 即可瞬间到达。 
【真实场景完美还原】
- 这里有阳光明媚的海滩、阴雨连绵的河岸、热闹非凡的城市、幽居深处的村庄 
- 浮钓、拟钓、海钓、河钓满足各种钓鱼体验 
【鱼类的百科全书】
- 1:1 仿真近百种真实鱼类
- 模拟鱼类生长环境和鱼饵喜好 
- 图鉴系统记录每一个钓鱼瞬间
【随心所欲定制造型】
- 支持DIY的水族馆，在家也能看到鱼群遨游！ 
- 支持全身装扮的角色模型，让你成为岸边最靓钓手！ 
【好友联机以鱼会友】
- 提供最多 4 人专属钓鱼空间，让你钓鱼不孤单 
- 想和好友PK钓鱼技术？钓鱼排行榜等你挑战 
【周边系统让钓鱼不无聊】 
- 音乐播放器和网页浏览器可以让你边钓鱼边追剧，刷抖音、听播客也可以 
- 钓到鲨鱼？照相机功能让你一键记录美好瞬间
给你身临其境的钓鱼体验！快来加入吧",支持退款申请：PICO退款政策,分类：游戏,"标签：休闲, 运动, 放松","游戏形式：多人, 单人","语言：英语, 法语, 西班牙语, 德语, 韩语, 日语, 简体中文, 繁体中文","使用范围：房间移动, 原地坐姿, 原地站立",控制方式：6-DOF 手柄,"支持平台：PICO Neo3 Pro, PICO Neo3, PICO Neo3 Eye, PICO 4, PICO 4 Pro",版本：1.027,更新日期：2023-9-10,大小：2.5 G,开发者：Devs United Games,发行商：Devs United Games,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://www.realvrfishing.com/,"权限：存储空间, 麦克风",实况钓鱼,2023-09-20 23:40:53,2023-09-20 23:43:02
年龄：12+,null,多合一运动 VR,"简介■ 人气运动游戏集锦，13项虚拟现实真实体育等你来体验
- 棒球，射箭，乒乓球，篮球，保龄球，羽毛球，高尔夫，飞镖，台球，拳击, 网球、排球、壁球

■ 通过多人游戏进行实时对战

■ 出色的物理引擎，带来极具现实感的虚拟体育体验

■ 玩家可定制角色（装扮角色）

■ 从新手到专家的5种难易度，可进行单人模式对决

■ 建立可刺激运动欲望的30种成绩系统

■ 与更多爱好运动的玩家在排行榜上一较高下■ 人气运动游戏集锦，13项虚拟现实真实体育等你来体验
- 棒球，射箭，乒乓球，篮球，保龄球，羽毛球，高尔夫，飞镖，台球，拳击, 网球、排球、壁球

■ 通过多人游戏进行实时对战

■ 出色的物理引擎，带来极具现实感的虚拟体育体验

■ 玩家可定制角色（装扮角色）

■ 从新手到专家的5种难易度，可进行单人模式对决

■ 建立可刺激运动欲望的30种成绩系统

■ 与更多爱好运动的玩家在排行榜上一较高下",支持退款申请：PICO退款政策,分类：游戏,"标签：运动, 模拟, 休闲","游戏形式：多人, 单人","语言：简体中文, 英语, 日语, 德语, 西班牙语, 法语, 意大利语, 韩语, 葡萄牙语, 繁体中文",使用范围：原地站立,控制方式：6-DOF 手柄,"支持平台：PICO Neo3, PICO 4, PICO 4 Pro, PICO Neo3 Pro, PICO Neo3 Eye",版本：1.0.0,更新日期：2023-5-11,大小：723.5 MB,开发者：Appnori,发行商：Appnori,开发者隐私政策：隐私政策,null,开发者网站：https://www.appnori.com,"权限：存储空间, 麦克风",多合一运动 VR,2023-09-20 23:43:19,2023-09-20 23:45:25
年龄：12+,null,宇航者：木星失衡,"简介《宇航者：木星失衡》一款拥有卡通渲染画面的VR游戏。玩家将会作为苏联宇航员，挥舞着马桶搋子做的钩爪，体验失重环境下穿越宇宙空间站的故事。
搋子钩爪是失重环境下移动的唯一方式你敢信？这是独一无二的、融合了解谜元素的VR单人剧情向游戏体验。游戏同时提供了通关竞速模式。你将沉浸在浓烈的柴油朋克气氛中，通过钩爪和推进器，体验类似身着宇航服的印第安纳.琼斯的故事。这里50大关战役模式、古怪的情节、一定剂量的斯拉夫幽默以及老掉牙的玩笑。我们拥有人见人爱的交互解谜玩法，和超过30个拥有排行榜的竞速关卡。我们还有很多外太空主题音乐和独一无二的柴油朋克氛围。玩法简单易学，大概需要你两分钟左右...吧！《宇航者：木星失衡》一款拥有卡通渲染画面的VR游戏。玩家将会作为苏联宇航员，挥舞着马桶搋子做的钩爪，体验失重环境下穿越宇宙空间站的故事。
搋子钩爪是失重环境下移动的唯一方式你敢信？这是独一无二的、融合了解谜元素的VR单人剧情向游戏体验。游戏同时提供了通关竞速模式。你将沉浸在浓烈的柴油朋克气氛中，通过钩爪和推进器，体验类似身着宇航服的印第安纳.琼斯的故事。这里50大关战役模式、古怪的情节、一定剂量的斯拉夫幽默以及老掉牙的玩笑。我们拥有人见人爱的交互解谜玩法，和超过30个拥有排行榜的竞速关卡。我们还有很多外太空主题音乐和独一无二的柴油朋克氛围。玩法简单易学，大概需要你两分钟左右...吧！",支持退款申请：PICO退款政策,分类：游戏,"标签：动作, 太空, 冒险","游戏形式：单人, 多人","语言：简体中文, 英语, 日语, 韩语","使用范围：原地站立, 原地坐姿, 房间移动",控制方式：6-DOF 手柄,"支持平台：PICO Neo2, PICO Neo2 Lite, PICO Neo3 Pro, PICO Neo3 Eye, PICO Neo3, PICO 4, PICO 4 Pro",版本：2.0.2,更新日期：2022-6-13,大小：1.1 G,开发者：Gamedust,发行商：Gamedust,开发者隐私政策：隐私政策,null,null,"权限：存储空间, 麦克风",宇航者：木星失衡,2023-09-20 23:56:36,2023-09-20 23:58:59
null,不支持退款申请：PICO退款政策,游戏串流助手,"简介PICO 游戏串流助手是 PICO 官方发布的一套串流工具软件，它可以帮助您在 PICO VR 一体机上畅玩 SteamVR 上的精彩游戏。
本应用为 PICO 游戏串流助手头戴端软件，需要配合电脑端软件使用。电脑端软件需运行于 VR Ready 的 Windows 系统电脑，请在PICO 官网下载安装（picoxr.com）。PICO 游戏串流助手是 PICO 官方发布的一套串流工具软件，它可以帮助您在 PICO VR 一体机上畅玩 SteamVR 上的精彩游戏。
本应用为 PICO 游戏串流助手头戴端软件，需要配合电脑端软件使用。电脑端软件需运行于 VR Ready 的 Windows 系统电脑，请在PICO 官网下载安装（picoxr.com）。",null,分类：应用,"标签：效率工具, 远程协作, 线下娱乐",null,"语言：英语, 简体中文, 德语, 日语, 韩语, 法语, 意大利语","使用范围：房间移动, 原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4 Pro, PICO 4, PICO Neo3",版本：9.5.6,更新日期：2023-8-8,大小：14.9 MB,开发者：PICO,发行商：PICO,开发者隐私政策：隐私政策,null,null,"权限：存储空间, 麦克风",游戏串流助手,2023-09-20 23:58:03,2023-09-20 23:59:37
年龄：8+,null,拼图巡游,"简介免费更新：新的农历新年拼图现已推出！
《拼图巡游》是一款 VR 3D 拼图游戏，为您带来轻松又有益身心健康的游戏体验！游戏将世界各地美丽风景的超写实缩影拼凑在一起，带您进入拼图的神奇世界当中。在您体验游戏的同时，您可以感受到每一款拼图的精心设计，同时聆听独特且富有沉浸感的音效以及音乐。《拼图巡游》把一项古老的消遣活动以VR方式重新演绎。在游戏中，您能体验到拼图简单游玩方法，感受易于操作的界面。您还可以与全家人一起游玩！游戏内含 17 种独特拼图。技术团队通过超精细的 3D 画质扫描技术，扫描全球各地著名景点，制成精美的拼图。每种拼图都提供 25、50、100、200 和 400 片的拼图版本，供您选择挑战！#比亚里茨市：风景美如画的法国大西洋沿岸拼图#亚美尼亚文化遗产：包含亚美尼亚修道院、堡垒和寺庙#哈瓦立博物馆：在斯德哥尔摩的一座富丽堂皇住宅内完成拼图#特色拼图:从日本传统服饰到海上城市的拼图免费更新：新的农历新年拼图现已推出！
《拼图巡游》是一款 VR 3D 拼图游戏，为您带来轻松又有益身心健康的游戏体验！游戏将世界各地美丽风景的超写实缩影拼凑在一起，带您进入拼图的神奇世界当中。在您体验游戏的同时，您可以感受到每一款拼图的精心设计，同时聆听独特且富有沉浸感的音效以及音乐。《拼图巡游》把一项古老的消遣活动以VR方式重新演绎。在游戏中，您能体验到拼图简单游玩方法，感受易于操作的界面。您还可以与全家人一起游玩！游戏内含 17 种独特拼图。技术团队通过超精细的 3D 画质扫描技术，扫描全球各地著名景点，制成精美的拼图。每种拼图都提供 25、50、100、200 和 400 片的拼图版本，供您选择挑战！#比亚里茨市：风景美如画的法国大西洋沿岸拼图#亚美尼亚文化遗产：包含亚美尼亚修道院、堡垒和寺庙#哈瓦立博物馆：在斯德哥尔摩的一座富丽堂皇住宅内完成拼图#特色拼图:从日本传统服饰到海上城市的拼图",支持退款申请：PICO退款政策,分类：游戏,"标签：解谜, 放松, 探索",游戏形式：单人,"语言：韩语, 法语, 西班牙语, 德语, 日语, 英语, 简体中文","使用范围：房间移动, 原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO Neo3 Pro, PICO Neo3, PICO 4, PICO 4 Pro, PICO Neo3 Eye",版本：2.30,更新日期：2023-9-7,大小：2.3 G,开发者：realities.io Inc,发行商：realities.io Inc,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://www.realities.io/PuzzlingPlaces,权限：存储空间,拼图巡游,2023-09-20 23:57:32,2023-09-21 00:00:32
年龄：8+,null,方块主义,"简介 坐好。放松。开始解题。
 
《方块主义》是一款看似简单但无时无刻不在考验玩家思维的益智游戏。你需要用各种彩色方块拼出越来越复杂的立体形状。
 
随着你边推理边试解 90 道谜题，你将逐渐沉浸于禅思的意境，把自己的空间思维能力推至极限。 坐好。放松。开始解题。
 
《方块主义》是一款看似简单但无时无刻不在考验玩家思维的益智游戏。你需要用各种彩色方块拼出越来越复杂的立体形状。
 
随着你边推理边试解 90 道谜题，你将逐渐沉浸于禅思的意境，把自己的空间思维能力推至极限。",支持退款申请：PICO退款政策,分类：游戏,"标签：解谜, 放松, 教育",游戏形式：单人,"语言：简体中文, 英语, 日语, 德语, 西班牙语, 法语, 韩语","使用范围：原地坐姿, 原地站立, 房间移动","控制方式：头控, 6-DOF 手柄","支持平台：PICO Neo3 Pro, PICO Neo3 Eye, PICO Neo3, PICO 4, PICO 4 Pro",版本：1.6.1,更新日期：2022-10-27,大小：105.3 MB,开发者：Vanbo BV,发行商：Vanbo BV,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://www.cubism-vr.com,"权限：存储空间, 麦克风",方块主义,2023-09-20 23:59:17,2023-09-21 00:00:51
年龄：8+,null,光之乐团,"简介多人挑战试运行版，已经上线，快邀请小伙伴一起来玩!!!

包含4种模式：
1. 多人挑战
2. 关卡挑战
3. 运动挑战
4. 世界曲库挑战

具体打法：
根据音乐的节奏，将音符生成为方块，玩家需要舞动双剑，根据节拍（Beat） 击打方块，形成美妙的合奏。
打击对应的节奏方块获得分数，分数取决于（Saber）打击的角度和准确性。


希望大家在体验的过程中，获得快乐，享受音乐，运动健康。

后续计划：增加多人娱乐玩法
官方微信：lightband
可以加入内测群，更早的体验新版本功能哦！

多人挑战试运行版，已经上线，快邀请小伙伴一起来玩!!!

包含4种模式：
1. 多人挑战
2. 关卡挑战
3. 运动挑战
4. 世界曲库挑战

具体打法：
根据音乐的节奏，将音符生成为方块，玩家需要舞动双剑，根据节拍（Beat） 击打方块，形成美妙的合奏。
打击对应的节奏方块获得分数，分数取决于（Saber）打击的角度和准确性。


希望大家在体验的过程中，获得快乐，享受音乐，运动健康。

后续计划：增加多人娱乐玩法
官方微信：lightband
可以加入内测群，更早的体验新版本功能哦！

",支持退款申请：PICO退款政策,分类：游戏,"标签：运动, 音乐, 科幻",游戏形式：单人,语言：简体中文,"使用范围：原地站立, 原地坐姿, 房间移动",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO Neo3, PICO Neo3 Eye, PICO Neo3 Pro, PICO 4 Pro, PICO 4E",版本：2.2.2,更新日期：2023-9-11,大小：896.2 MB,开发者：星河XR工作室,发行商：星河XR工作室,开发者隐私政策：隐私政策,开发者服务条款：服务条款,null,"权限：存储空间, 麦克风",光之乐团,2023-09-20 23:57:27,2023-09-21 00:03:41
null,null,Color Connect,"简介色彩连连看-在超过70个具有挑战性的谜题中迷失自我，让你的大脑经受考验-坐下来，解谜，放松！

*坐* -零重力和自适应控制为您带来谜题。忙碌了一天过后，在沙发上坐下放松，或者直接投入到360度解谜体验中。

*解* -你会被70多个精心构建的关卡困扰数小时。逻辑上连接所有的彩色节点，争取满星过关。

*放松* -在您自己的平台上，周围环绕着卫星和星星，令人惊艳的视觉效果与我们精心挑选的配乐相结合，将您带到另一个星球。

*为了获得最佳音频体验，我们建议使用耳机*

*玩法* -连接彩色节点，战略性地选择你的路径，尽可能少的移动。路径不能重叠，每个节点都必须用来成功完成解谜。学起来很简单，但想要精通却很有挑战性！色彩连连看-在超过70个具有挑战性的谜题中迷失自我，让你的大脑经受考验-坐下来，解谜，放松！

*坐* -零重力和自适应控制为您带来谜题。忙碌了一天过后，在沙发上坐下放松，或者直接投入到360度解谜体验中。

*解* -你会被70多个精心构建的关卡困扰数小时。逻辑上连接所有的彩色节点，争取满星过关。

*放松* -在您自己的平台上，周围环绕着卫星和星星，令人惊艳的视觉效果与我们精心挑选的配乐相结合，将您带到另一个星球。

*为了获得最佳音频体验，我们建议使用耳机*

*玩法* -连接彩色节点，战略性地选择你的路径，尽可能少的移动。路径不能重叠，每个节点都必须用来成功完成解谜。学起来很简单，但想要精通却很有挑战性！",支持退款申请：PICO退款政策,分类：游戏,"标签：解谜, 休闲, 放松",游戏形式：单人,"语言：英语, 简体中文, 日语, 西班牙语, 法语, 德语, 俄语, 韩语","使用范围：原地站立, 原地坐姿, 房间移动",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO Neo3, PICO 4 Pro",版本：2.0.40,更新日期：2023-4-13,大小：755.0 MB,开发者：Sandford Tech,发行商：Sandford Tech,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://sandfordtech.com/color-connect,权限：麦克风,Color Connect,2023-09-21 00:01:31,2023-09-21 00:03:59
年龄：8+,null,墙裂要球MR,"简介《墙裂要球》是一款让你拿起球拍爽快击球的游戏，通过击碎墙面不断通关，赢取高分！每一局都有充满趣味的随机性元素，你还可以使用n种不同的球拍与球的组合来开启你的击墙挑战，现在更有MR透视模式，随时随地放心挥拍！

拿起球拍，用力击球，瞄准墙面的“靶子”来把墙击碎吧！

开发者微信：sanshi5193
期待你的反馈，玩家的建议对我们来说无比珍贵！《墙裂要球》是一款让你拿起球拍爽快击球的游戏，通过击碎墙面不断通关，赢取高分！每一局都有充满趣味的随机性元素，你还可以使用n种不同的球拍与球的组合来开启你的击墙挑战，现在更有MR透视模式，随时随地放心挥拍！

拿起球拍，用力击球，瞄准墙面的“靶子”来把墙击碎吧！

开发者微信：sanshi5193
期待你的反馈，玩家的建议对我们来说无比珍贵！",支持退款申请：PICO退款政策,分类：游戏,"标签：运动, 休闲, 模拟",游戏形式：单人,"语言：英语, 简体中文","使用范围：房间移动, 原地站立",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO 4 Pro, PICO Neo3",版本：1.2.0,更新日期：2023-6-15,大小：273.5 MB,开发者：Jike Games,发行商：Jike Games,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://post.okjike.com/jike-games/,null,墙裂要球MR,2023-09-21 00:01:03,2023-09-21 00:05:17
null,不支持退款申请：PICO退款政策,超燃一刻,"简介《超燃一刻》荣获2022年PICO“最受欢迎免费应用”，帕梅拉定制“魔鬼课程”已正式上线！
23年7月7日起限时赠送订阅会员时长活动结束，正式开启订阅制，非订阅用户仍然可以继续免费体验由官方为大家精心挑选的部分运动课程，后续也会持续更新增加新的课程内容。
Ps:正式开启订阅是希望研发人员能够有收入支撑，持续投入到新课程以及新体验模式的开发中，感谢大家的体谅以及一直以来的支持。同时通过运动提升等级也可获得订阅时间奖励。

【多样化模式律动全身】
涵盖多种运动模式：球棍、拳击、私教。每种模式下有多节不同强度的课程，总有一款帮你告别枯燥，爱上健身！未来持续更新更多课程，不断扩充健身内容。
【专业教练的定制课程】
云集了帕梅拉、超级猩猩等头部健身达人！为PICO独家定制的专业课程，经过科学设计以达到更佳的健身效果，全程引导激励您保持动力，随时随地体验如同健身房一般的1对1私教课。
【身临其境的壮丽美景】
足不出户即可领略大自然的美景！在世界各地著名景点中锻炼，不论是高大巍峨的冰川，还是一望无际的沙漠，都可以在此拥有如临其境的新奇体验，沉浸在壮阔的自然风光中。
【优质动感的运动音乐】
集合了数十首国内外极富律动感的优质音乐与知名艺术家的曲目，与健身节奏完美适配。当健身与动感音乐结合起来时，运动的爽快感将会达到全新的高度。
欢迎搜索微信号：【VRbot1】，添加官方客服微信加入《超燃一刻》健身交流群

此次版本(V1.5.6)更新内容如下所示：
——【新增】跟练课程体感判定开关按钮，可以通过主界面左上方【设置-其他-跟练体感判定】自由选择开启或关闭帕梅拉课程的判定功能
——【新增】新增拳击课程的歌曲扩充到自定义关卡曲库中
——【新增】新课程的“新”角标提示，帮助大家了解是否完成了上新课程的首次体验
——【优化】帕梅拉中阶课程体感判定的准确性
——【修复】教练语音大小设置无作用问题
——【修复】点击任务跳转后，部分课程海报会覆盖任务栏的情况

PS:在未来我们会持续更新优质的拳击训练课程、帕梅拉跟练课程，同时为了给大家打造更好的运动体验，也会研发更多新功能，如：新增自由转向功能、自由组合课程功能等，大家敬请期待哦~
希望这个版本中能够给大家带来更好的使用体验，同时也希望大家能够积极地反馈和建议，帮助我们不断改进和优化。如果你在使用过程中遇到任何问题或者建议，欢迎添加官方工作人员微信：VRbot1，进行反馈哦~
还没下载的用户快来下载《超燃一刻》感受我们为大家带来的诚意满满的升级燃脂体验吧！《超燃一刻》荣获2022年PICO“最受欢迎免费应用”，帕梅拉定制“魔鬼课程”已正式上线！
23年7月7日起限时赠送订阅会员时长活动结束，正式开启订阅制，非订阅用户仍然可以继续免费体验由官方为大家精心挑选的部分运动课程，后续也会持续更新增加新的课程内容。
Ps:正式开启订阅是希望研发人员能够有收入支撑，持续投入到新课程以及新体验模式的开发中，感谢大家的体谅以及一直以来的支持。同时通过运动提升等级也可获得订阅时间奖励。

【多样化模式律动全身】
涵盖多种运动模式：球棍、拳击、私教。每种模式下有多节不同强度的课程，总有一款帮你告别枯燥，爱上健身！未来持续更新更多课程，不断扩充健身内容。
【专业教练的定制课程】
云集了帕梅拉、超级猩猩等头部健身达人！为PICO独家定制的专业课程，经过科学设计以达到更佳的健身效果，全程引导激励您保持动力，随时随地体验如同健身房一般的1对1私教课。
【身临其境的壮丽美景】
足不出户即可领略大自然的美景！在世界各地著名景点中锻炼，不论是高大巍峨的冰川，还是一望无际的沙漠，都可以在此拥有如临其境的新奇体验，沉浸在壮阔的自然风光中。
【优质动感的运动音乐】
集合了数十首国内外极富律动感的优质音乐与知名艺术家的曲目，与健身节奏完美适配。当健身与动感音乐结合起来时，运动的爽快感将会达到全新的高度。
欢迎搜索微信号：【VRbot1】，添加官方客服微信加入《超燃一刻》健身交流群

此次版本(V1.5.6)更新内容如下所示：
——【新增】跟练课程体感判定开关按钮，可以通过主界面左上方【设置-其他-跟练体感判定】自由选择开启或关闭帕梅拉课程的判定功能
——【新增】新增拳击课程的歌曲扩充到自定义关卡曲库中
——【新增】新课程的“新”角标提示，帮助大家了解是否完成了上新课程的首次体验
——【优化】帕梅拉中阶课程体感判定的准确性
——【修复】教练语音大小设置无作用问题
——【修复】点击任务跳转后，部分课程海报会覆盖任务栏的情况

PS:在未来我们会持续更新优质的拳击训练课程、帕梅拉跟练课程，同时为了给大家打造更好的运动体验，也会研发更多新功能，如：新增自由转向功能、自由组合课程功能等，大家敬请期待哦~
希望这个版本中能够给大家带来更好的使用体验，同时也希望大家能够积极地反馈和建议，帮助我们不断改进和优化。如果你在使用过程中遇到任何问题或者建议，欢迎添加官方工作人员微信：VRbot1，进行反馈哦~
还没下载的用户快来下载《超燃一刻》感受我们为大家带来的诚意满满的升级燃脂体验吧！",null,分类：应用,"标签：运动, 音乐, 放松",null,语言：简体中文,"使用范围：房间移动, 原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO Neo3, PICO Neo3 Eye, PICO Neo3 Pro, PICO 4 Pro",版本：1.5.6.0,更新日期：2023-9-15,大小：1.1 G,开发者：Chesstar Studios,发行商：海南创见未来科技有限公司,开发者隐私政策：隐私政策,null,null,权限：存储空间,超燃一刻,2023-09-21 00:00:12,2023-09-21 00:05:22
