order,name,description,privacy_policy,genre,age,origin_url
23,YUKI (English),"New Free Update with Endless Mode! Beat your friends on Global Leaderboards for each Bladewing and intensity level!YUKI is an upbeat mix of the bullet-hell and roguelike game genres in VR, set in an incredible anime universe. Step into the wild imagination of a child and fly through multidimensional worlds holding her favorite action character, Yuki. Use your hands to fly Yuki and dodge loads of bullets and obstacles that cross your path! Groove to the sound of mesmerizing music as you maneuver through each of the new spellbinding game levels while blasting the evil Yokaliens.As you embark on this enthralling spatial VR-designed gameplay, you’ll find yourself getting into a smooth choreography with enemies, bullets, and obstacles. Collect cool power-ups to become stronger as you face new levels that surprise you every time. The more you play, the more powerful you become, and better are the chances you'll make it through. After all, a child's imagination can cease evil, and the only way to save the universe is to play like a kid!Enjoy this new experience and one of the best game releases of 2021!In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor",https://arvore.io/privacy-policy/yuki/,"Adventure, Arcade, Action",7,https://store.playstation.com/en-sg/product/UP4906-CUSA24739_00-7181951758316421
17,"Yupitergrad (English, Korean, Traditional Chinese)","Yupitergrad is a plunger-driven cosmonaut game where you can swing through a space station in style – all in cel-shaded graphics. Can you believe that grappling hooks are the definitive way of locomotion in a place like this? It's a one-of-a-kind experience, where VR platformer meets puzzles in a single-player campaign. It also gives you arcade thrills with Time Attack mode. All of this is soaked in a delicious dieselpunk sauce. - Finally, a dynamic VR platformer without the risk of motion sickness. - Indiana Jones-like navigation where you use grappling hooks and boosters? It's like a jam and peanut butter combination. - Campaign with over 50 levels, wacky plot, and a dose of Slavic humor and dad jokes. - Everyone loves environmental puzzles – and we have them! - Time Attack mode will have you swinging through 30 arcade levels, complete with leaderboards. - List of energetic and atmospheric tracks. - Unique dieselpunk-in-space vibe. - Easy to learn! You need only two minutes to start swinging.",https://gamedust.co/privacy-policy,"Action, Arcade",7,https://store.playstation.com/en-sg/product/HP4726-CUSA29663_00-6251394729042747
5,"Startenders: Intergalactic Bartending (English, Korean, Japanese)","This product entitles you to download both the digital PlayStation®VR version and the digital PlayStation®VR2 version of this game.Abducted by accident and enrolled into the Startenders Bartending Academy, you will have to shake, slice and serve to survive until you can find a way to escape!Use your skills to create delicious concoctions to serve to your alien patrons, use wacky machines and even wackier ingredients to earn your way home.    Startenders Features:  ● Fully voice acted story to progress through● Create and serve crazy drinks to aliens!● Unlock new machines to build, and strange ingredients to create your drinks● Visit colourful locations across the galaxy or hang out in the habitat● Make and name your own custom drinks for customers to buy● Compete on the intergalactic leaderboards in Daily PlayIf you already own the PlayStation®VR version of this game, you can get the PlayStation®VR2 digital version at no extra cost and you do not need to purchase this product. Owners of a PlayStation®VR disc copy must insert it into the PS5™ every time they want to download or play the PlayStation®VR2 digital version. PlayStation®VR game disc owners who buy the PS5™ Digital Edition disc-free console will not be able to get the PlayStation®VR2 version at no extra cost.",,"Arcade, Simulator",16,https://store.playstation.com/en-sg/product/UP5634-PPSA09567_00-7849572027935265
11,"Time Carnage (Simplified Chinese, English)","Time Carnage is a frantic VR survival shooter. Travel through time and wreak havoc through worlds swarming with dinosaurs, monsters, robots and zombies. Unlock and upgrade your arsenal to survive the onslaught!Choose your weapons wisely as you’ll manically swap out active guns on the fly in a 16-tier Campaign or Custom Arcade Mode complete with perks, challenges and mystery items. Immerse yourself in a post-apocalyptic world, prehistoric jungle, icy wasteland and a futuristic metropolis. For each zone you’ll handpick a selection of guns to suit your play style and battle with a timed-reload system as you unlock an arsenal of over 25 mix-and-match dual wielding weapons. Shoot, drop, switch, repeat!",,"Action, Shooter, Action",16,https://store.playstation.com/en-sg/product/EP4459-CUSA10391_00-TIMECARNAGEPS4VR
25,"Fracked (English, Japanese)","IT’S THE END OF THE FRACKING WORLDFrom the creators of Phantom: Covert Ops, Fracked is the trailblazing new VR action adventure that seamlessly collides relentless gunfights with free skiing, running and climbing. Stranded in a remote mountain facility, you play as a reluctant hero forced into a final stand between the planet and a legion of interdimensional enemies. Take aim and run head-first into the action as you shoot, ski, and climb your way across an extreme adventure. Uncompromised, audacious and stylish, Fracked grabs PS VR by the Moves and delivers an ass kicking VR game that’s also enhanced for PS5™.BE THE ACTION HEROExperience innovative VR gunplay that blends improvised run and gun combat with 1:1 grabbable cover.  Move freely around the battlefield to outflank, outsmart, and outgun your foes using deadly, fully interactive weapons.FEEL THE ADVENTURESeamlessly transition between a host of free movement methods. Physically lean on your skis to master slopes at high speed and reach out and hold on for your life as you climb and zipline far above the ground.  No rails. No limits. No mercy.SAVE THE PLANETTake on an interdimensional army that combines hive mind mentality with gun-wielding supremacy.  Fracked is in-your-face action with a cutting commentary on corporate greed and the climate change emergency. Save the day, to save the world.MADE FOR PLAYSTATION®VR & PLAYSTATION®MOVEFracked pulls the action-adventure genre to revolutionary new heights through intuitive 1:1 VR gameplay, motion control and free movement. Experience further enhancements on PS5™, including improved framerate,  loading times and uncapped dynamic resolutionIn addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",https://www.ndreams.com/company/terms-and-conditions/,"Action, Adventure",16,https://store.playstation.com/en-sg/product/UP2985-CUSA27482_00-7128389828211774
13,"Moss: Book II (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Quill is back—and she’s being hunted. Those who seek to unmake this world are desperate for the Glass she holds, and they’ll stop at nothing to claw it from her grasp. But the young hero has a plan of her own, one that could finally end the merciless rule of the Arcane and restore peace to Moss once more. To stand a chance, Quill will need a true partner by her side—and we hope that partner is you. With her, you’ll venture deep inside the hexed castle of the Arcane where dangerous terrain, challenging puzzles, and enemies twisted in fire and steel await. The journey will be trying—filled with triumph and heartbreak alike—but new allies, old friends, and the very nature of the castle itself can offer help along the way. Yet in the end, it is you alone who can lift Quill up to save this world, and together, rise to legend.DUALSHOCK®4 wireless controller required to play this game.In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",https://www.polyarcgames.com/mosstos,"Action, Adventure, Puzzle",7,https://store.playstation.com/en-sg/product/UP1983-CUSA23252_00-9773771946663188
18,"Konrad's Kittens - Cat Theme Bundle (Simplified Chinese, English, Japanese)","Contains the game Konrad's Kittens, 3 dynamic Themes with cute cats and 8 kitten Avatars.In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor",,"Simulation, Educational, Family",3,https://store.playstation.com/en-sg/product/EP2846-CUSA09683_00-KONRADTHEKITTEN2
26,"Fracked Deluxe Edition (English, Japanese)","IT’S THE END OF THE FRACKING WORLDFrom the creators of Phantom: Covert Ops, Fracked is the trailblazing new VR action adventure that seamlessly collides relentless gunfights with free skiing, running and climbing. Stranded in a remote mountain facility, you play as a reluctant hero forced into a final stand between the planet and a legion of interdimensional enemies. Take aim and run head-first into the action as you shoot, ski, and climb your way across an extreme adventure. Uncompromised, audacious and stylish, Fracked grabs PS VR by the Moves and delivers an ass kicking VR game that’s also enhanced for PS5™.BE THE ACTION HEROExperience innovative VR gunplay that blends improvised run and gun combat with 1:1 grabbable cover.  Move freely around the battlefield to outflank, outsmart, and outgun your foes using deadly, fully interactive weapons.FEEL THE ADVENTURESeamlessly transition between a host of free movement methods. Physically lean on your skis to master slopes at high speed and reach out and hold on for your life as you climb and zipline far above the ground.  No rails. No limits. No mercy.SAVE THE PLANETTake on an interdimensional army that combines hive mind mentality with gun-wielding supremacy.  Fracked is in-your-face action with a cutting commentary on corporate greed and the climate change emergency. Save the day, to save the world.MADE FOR PLAYSTATION®VR & PLAYSTATION®MOVEFracked pulls the action-adventure genre to revolutionary new heights through intuitive 1:1 VR gameplay, motion control and free movement. Experience further enhancements on PS5™, including improved framerate,  loading times and uncapped dynamic resolutionIn addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",https://www.ndreams.com/company/terms-and-conditions/,"Action, Adventure",16,https://store.playstation.com/en-sg/product/UP2985-CUSA27482_00-4514750792484501
12,Baby Hands (English),"Hilarious retro parodies! Experience the world through the eyes, ears and chubby little hands of a baby in the 90's! Crawl your way through a zany retro sandbox experience, filled with imagination and fun! Unlock achievements, solve puzzles and hunt for hidden objects in a world of giant furniture, cute stuffed animals and awesome old toys! Use your imagination to unlock cool mini-games, and to bring your toys to life!In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor",,"Puzzle, Simulation, Simulator",3,https://store.playstation.com/en-sg/product/UP5333-CUSA29100_00-CWBH000000000001
19,"Konrad's Kittens (Simplified Chinese, English, Japanese)","Immerse yourself in the virtual world of Konrad the Kitten and experience the first virtual cat that feels like a real one.Konrad, the cute kitten, needs a helping hand and lots of love. Give him his cat food, let him take a ride in a hot-air-balloon and lots more! A particular highlight for all cat fans is the optional plush toy mode that brings your favorite plush toy to life as a virtual cat. Feel it in your hands and play with it daily as though it were your real furry friend.Play pawsome mini-games, show off your skills and reactions and win valuable coins. Unlock more than 50 various accessories and dress your kitten any way you want.Cuteness overload awaits all cat fans in this unique virtual reality game. Experience a new way to combine real life and virtual reality. Will you be the purrfect friend for Konrad?In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor",,"Simulation, Educational, Family",3,https://store.playstation.com/en-sg/product/EP2846-CUSA09683_00-KONRADTHEKITTEN0
6,"HITMAN World of Assassination (Simplified Chinese, English, Traditional Chinese)","Enter the world of the ultimate assassin.BECOME AGENT 47Suit up for a spy-thriller adventure where all your deadly abilities are put to the test across more than 20 locations.FREEDOM OF APPROACHYour deadliest weapon is creativity. Unlock new gear and up your game on highly replayable missions.WORLD OF ASSASSINATIONTravel a living, breathing world, filled with intriguing characters and lethal opportunities.HITMAN FREELANCERA new way to play on your own terms, that combines rogue-like elements and deep strategic planning with a persistent and infinitely replayable gameplay experience.HITMAN World of Assassination brings together the best of HITMAN, HITMAN 2 and HITMAN 3, including the main campaign, contracts mode, escalations, elusive target arcades and featured live content.",,Action,,https://store.playstation.com/en-sg/product/UP4572-CUSA18201_00-0000000000000WOA
2,"Kizuna AI - Touch the Beat! (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Say hello (morning!) to a new kind of rhythm game, and hang out in a virtual space with Kizuna AI!■Game OverviewKizuna AI: Touch the Beat is a rhythm game that features Kizuna AI.Play in VR mode, or in a non-VR mode that does not require PlayStation®VR2 / PlayStation®VR.This edition also includes a View Mode, which lets you travel through the game's stages free as a bird.If you want to hang out with Kizuna AI in VR, Kizuna AI: Touch the Beat is for you!■PlayStation®VR2 / PlayStation®VR Compatible!It goes without saying that this game can be played on both your TV and with PlayStation®VR2.*Also supports PlayStation®VR■Songs & DLCIncludes 15 popular songs performed by Kizuna AI, including her massive hit ""Hello, Morning,"" which has garnered over 2,170,000 views.Post-launch DLC is in the works, including additional songs and outfits, and other content.",http://www.gemdrops.co.jp/privacy_en.html,Music/Rhythm,3,https://store.playstation.com/en-sg/product/JP1970-CUSA33094_00-KATTB00000000000
14,"DragonRideVR (Simplified Chinese, English, Japanese)","Become a DragonRider!DragonRideVR is an interactive fantasy experience with 7 game modes that immerses you into 10 stunning magical worlds. Fly your own dragon or choose from a variety of preset rides and game settings. Test your marksmanship by shooting targets and balloons or, swing your swords to the beat of the music in RhythmRide!Game features:  •	Collect crystals as you play and customize your dragon and accessories.•	Immerse yourself in 10 fantasy worlds •	Choose to fly your own Dragon or let it take you for a ride while you relax and take in the view! Dragon Rides: Hop on the back of a dragon for a pre-set ride! Choose from walking, flying, swimming, and even underwater diving! Panoramic Views: Take in the beauty of the different worlds in a stationary view mode. Rhythm Ride: Swing your swords to the musical beats! Pop the balloons and break the targets as you fly towards them on the back of the dragon. Be sure to match up the color and direction to get maximum points!25 hand-crafted songs with 5 difficulty levels.5 ride types: From smooth to the more challenging wild ride! Unlock custom options as you progress. These rides are not only easy to play, but they're a great workout! Target Games: Shoot targets and balloons on the back of a dragon, automatically activate magic spells (while they last) to help improve your score! Find the 9 Power-Up spells within the game. FreeFly - You control the dragon!Explore Mode: Play for hours,  collect Crystals and find the Secrets. Explore the magical worlds on your terms.Egg Hunt: Find the lost dragon eggs before time runs out!Balloon Hunt: Pop balloons to get as many points as possible!In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",,"Action, Family, Music/Rhythm",3,https://store.playstation.com/en-sg/product/UP5673-CUSA18293_00-DRAGONRIDEVR0001
